Type;count
Mitsubishi Eclipse Spyde;7
Cadillac CTS-V Seda;6
Jeep Libert;25
Kia Optim;16
Chevrolet Travers;24
Lexus L;12
Ford Mustang Convertibl;24
Ford Focus Coup;4
Porsche Cayma;5
Chevrolet Tahoe Hybri;4
Toyota Sienn;33
Dodge Viper Cou;1
Acura R;3
Porsche Cayenn;12
Chevrolet Suburba;3
Acura MD;3
Ford Mustang Cou;25
BMW 3 Series Sports Wago;12
Chrysler 30;14
Chrysler 200 Convertibl;3
Mazda CX-;13
Ford Fle;26
Lincoln Navigato;10
Chevrolet Impal;9
Aston Martin V8 Vantage Cou;5
Lexus G;6
Chevrolet Avalanch;12
Kia Optima Hybri;1
Hyundai Equu;4
Honda Elemen;11
Chrysler Sebring Convertibl;3
Jaguar XK Cou;8
Toyota Venz;8
Infiniti G37 Convertibl;8
Bentley Continental Supersports Convertibl;2
Chrysler 200 Seda;4
Rolls-Royce Phantom Seda;4
Chevrolet Silverado 1500 Hybri;12
Audi A5 Coup;7
Ford Tauru;15
Infiniti G37 Seda;10
Nissan Juk;2
Chevrolet Corvette Grand Sport Coup;24
Land Rover Range Rove;9
Volvo C7;6
Volvo XC6;21
Ford Explore;26
Land Rover Range Rover Evoqu;5
Mercedes-Benz E-Class Seda;11
Ford F-15;185
Hyundai Accent Hatchbac;14
Mercedes-Benz E-Class Wago;1
Hyundai Tucso;29
Lotus Elis;5
GMC Yukon Hybri;10
Honda Accord Crosstour Hatchbac;9
Aston Martin Rapid;5
Mazda Tribut;18
Audi A6 Seda;5
Jaguar X;12
Audi R8 Spyde;4
Cadillac CTS-V Wago;4
Kia Sportag;21
MINI Cooper Coup;5
Rolls-Royce Ghos;2
BMW 6 Series Convertibl;1
Lamborghini Gallardo Coup;3
Lincoln MK;8
Nissan 370Z Coup;20
Volvo V7;1
Mercedes-Benz CLS-Clas;3
Kia Forte 5-Doo;6
Chevrolet Corvette Convertibl;24
Honda Odysse;14
Suzuki Kizash;7
Acura ZD;3
Ford E-350 Super Duty Va;16
Ford Mustang Shelby GT500 Coup;2
Mercury Marine;16
Mitsubishi Outlander Spor;1
Mercedes-Benz SL-Clas;3
GMC Canyo;78
GMC Sierra 150;124
Aston Martin V12 Vantag;4
Toyota Sequoi;29
Nissan Versa Hatchbac;6
Lincoln MK;9
Transit Connect Wago;4
Cadillac CTS Sport Seda;36
Land Rover LR;7
Mercedes-Benz C-Clas;20
Volvo S6;4
Suzuki Grand Vitar;15
Porsche 911 Cabriole;12
Subaru Impreza WRX Hatchbac;9
BMW 3 Series Convertibl;17
Maserati GranTurismo Convertibl;2
Bentley Azure ;1
Saab 9-3 SportComb;13
Volkswagen Jett;38
Aston Martin DB9 Volant;7
Lincoln MKZ Seda;4
Toyota Camr;26
MINI Cooper Convertibl;15
Maserati Quattroport;6
Bentley Continental G;3
Volvo S8;6
Hyundai Genesis Coup;28
Ford E-150 Wago;10
Toyota Yaris Seda;4
Ford Focus 5-Doo;4
Audi A;7
Cadillac CTS Coup;14
lexus IS ;1
Chevrolet Corvette ZR;6
Cadillac Escalade EX;6
Volkswagen Touare;8
Volkswagen C;10
Ford E-350 Super Duty Wago;16
MINI Countryma;12
Scion x;10
GMC Acadi;28
Chevrolet Malib;19
Mercedes-Benz G-Clas;4
Volkswagen Beetl;3
MINI Clubma;15
Dodge Ram 150;109
Toyota Coroll;13
Nissan Tita;70
Cadillac CTS-V Coup;4
Dodge Viper Convertibl;1
Jaguar XK Convertibl;6
Volvo XC9;18
Dodge Calibe;11
Lamborghini Gallardo Spyde;1
Toyota Tundr;66
Buick Lucern;13
Acura T;8
Mercedes-Benz E-Class Coup;4
Hyundai Sonat;25
Chevrolet HHR Wago;14
Audi A4 Seda;9
Audi A;2
Suzuki SX4 Sportbac;4
Audi Q;12
Kia Sou;17
Audi A;1
BMW M6 Convertibl;1
Lexus IS ;9
GMC Yukon X;27
GMC Sierra 1500 Hybri;8
Land Rover LR;4
Toyota Highlande;25
Mercedes-Benz GL-Clas;6
Volkswagen Tigua;15
Buick Veran;3
Honda Accord Coup;15
Mazda Mazda;8
BMW ActiveHybrid 7 Seda;3
Scion x;6
Ford Crown Victori;1
BMW X;10
Toyota Yaris 3-Door Liftbac;7
Maybach Landaule;3
Ford Fiesta Seda;6
Lexus E;3
Mazda Mazda3 4-Doo;26
Audi A4 Avan;3
BMW 5 Series Gran Turism;7
Acura RD;4
Hyundai Elantra Tourin;14
Porsche Boxste;5
Ford Shelby GT500 Coup;1
Mitsubishi Lance;6
Mazda CX-;18
Nissan Armad;36
BMW 5 Series Seda;29
Cadillac ST;13
Nissan Xterr;23
Infiniti G2;6
Audi A;8
Chevrolet Camaro Coup;31
Mazda Mazda3 5-Doo;13
Dodge Charge;14
Mercedes-Benz GLK-Clas;4
Chevrolet Silverado 150;116
Volkswagen Touareg Hybri;1
Cadillac CTS Sport Wago;28
Jeep Compas;12
GMC Yuko;16
Saab 9-3 Convertibl;14
Dodge Challenge;11
Kia Ri;8
Acura TS;10
Lincoln Town Ca;4
Subaru Foreste;23
Honda Civic Cou;17
Volkswagen Routa;12
Subaru Impreza Hatchbac;19
Kia Rio 5-Doo;4
Suzuki SX4 Seda;8
Mitsubishi Galan;6
Volvo XC7;15
Aston Martin Virage Cou;2
Chrysler Town and Countr;9
Mazda Mazda;8
Infiniti ;13
Chevrolet Expres;21
Kia Rio;6
Nissan 370Z Roadste;11
Audi S5 Coup;6
Chevrolet Aveo;10
Cadillac Escalade Hybri;10
Buick Lacross;22
Volkswagen Jetta SportWage;11
Chevrolet Sonic Seda;6
Hyundai Veloste;1
Toyota Avalo;5
BMW M3 Convertibl;2
Dodge Avenge;11
Nissan JUK;2
Infiniti IPL G Coup;4
Toyota FJ Cruise;9
Saab 9-4;5
Volkswagen Golf R 2-Doo;1
Toyota Land Cruise;2
Rolls-Royce Phantom Drophead Coup;2
Aston Martin DBS Volant;6
Cadillac DT;8
Ford Transit Connect Va;2
Volkswagen Golf R 4-Doo;1
Dodge Dakot;28
Lexus LF;1
Subaru Outbac;14
Honda Civic Seda;35
Hyundai Veracru;13
Buick Rega;13
Chrysler Sebring Seda;3
Audi S;2
Mazda Mazdaspeed;3
Honda CR-;14
Infiniti M Hybri;1
Cadillac SRX Crossove;7
Mazda Mazda;23
Volvo C3;20
Ford Expeditio;52
Chevrolet Sonic Hatchbac;8
Lexus IS ;2
BMW Z4 Roadste;5
Land Rover Range Rover Spor;10
Ford Focus Seda;17
Suzuki SX4 Crossove;2
Chevrolet Camaro Convertibl;16
Chevrolet Equino;43
Chevrolet Corvette Z0;9
Bentley Continental GT;3
Bentley Continental Flying Spu;5
Lexus L;2
BMW 6 Series Cou;1
Audi A5 Cabriole;3
BMW M3 Seda;2
Scion t;10
Jeep Wrangle;52
Ford Fusio;29
Bentley Mulsann;1
BMW M6 Cou;1
Aston Martin DB9 Cou;7
MINI Cooper Hardto;15
Chevrolet Colorad;115
Mercury Mila;10
Ford E-250 Va;16
